id,Data
1e79439598494713b553f990a4040886,Median Household Income
0a85781f7890497185d6cde6760a20c5,Social Vulnerability
25c69268b3694d328bf117066d65e694,Population Density
fbbef255c2e84fe296c39f4a11609dff,Retail Spending Potential
9ec6cc14086a49979f27cd5f6b9602ab,Diversity Index
8bc1c70a12e0431b8b60b0dd4298f3c5,Median Disposable Income
c7b42e6032074cecae8e1c4a4feacbc7,Population Change 1990-2000
80a19cbf7b92442d860f40ef6b25f1b5,Median Home Value
21e1e7e7a45048229bedecf4d50f1e21,Population Older than Age 64
59ff4d5241cd46b09379cd91eb6ea18e,Projected Population Growth 2012-2017
